KEY;TYPE;REF;GEOTYPE;VARIANTS;FILES
Benedictus Polonus O.F.M.;persName;https://viaf.org/161819465/;;Benedictus Polonus O.F.M.|Benedictus Polonus|Benedictus;
Bernardus ab Incarnatione O.F.M.;persName;;;Bernardus ab Incarnatione|Bernardum de la Encarnacion|Bernardus ab Incarnatione O.F.M.;
Bizarus, Petrus ;persName;http://www.viaf.org/75145542386296641535;;Petrus Bizarus|Bizarus;
Blasius Garcia O.F.M.;persName;;;Bias Garzia|Blas Garzia|Blasio Garzia|Blasio Garcia;
Bonellus, Iohannes Baptista  S.J.;persName;http://www.viaf.org/32241613;;Joannes Baptista Bonellus|Joannes Baptista Bonellus;
Borges, Onufrius S.J.;persName;;;Onufrius Borges|Onufrius Borges;
Borralho, Emanuel S.J.;persName;;;Emanuel Borralho|Emanoel Borralho;
Boym, Michael;persName;http://www.viaf.org/77044131;;Michael Byom|Byom|Michaelis Byom|Michael Boym;
Brancato, Franciscus S.J.;persName;;;Franciscum Brancato|Brancato|Franciscus Brancati|Brancati;
Brandius, Adamus;persName;;;Adamus Brandius;
Brando, Iohannes Baptista S.J.;persName;;;Joannes Baptista Brando|Joannes Baptista Brando;
Cardim, Antonius Franciscus S.J.;persName;http://www.viaf.org/25034699;;Antonius Franciscus Cardim|Antonio Cardim|Antonio Cardim;
Carolus da Rocha S.J.;persName;;;Carolo da Rocha;
Carvalhal,Iorgius S.J.;persName;;;Jorgius Carvalhal;
Carvalho, Franciscus S.J.;persName;;;Franciscus Carvalho;
Carvalho, Casparus S.J.;persName;;;Gaspar Carvalho;
Carvalho, Valentinus ;persName;http://www.viaf.org/35396083;;Valentinus Carvalho;
Carvallius, Dominicus S.J.;persName;;;Dominicus Carvallius|Dominicus Carvallius;
Carvallius, Raphael S.J.;persName;;;Raphael Carvallius|Raphael Carvallius;
Castner, Casparus;persName;http://www.viaf.org/28161598;;Kaspar Castner;
Castro, Iohannes de S.J.;persName;http://www.viaf.org/69120905;;Joannes de Castro;
Catalina de Austria;persName;http://www.viaf.org/32801096;;Catalina de Austria;
Céspedes, Gregorius de S.J.;persName;http://www.viaf.org/231656858;;Gregorius de Céspedes;
Christophorus de Leon S.J.;persName;;;Christophorus de Leon;
Clemens IX;persName;http://www.viaf.org/221148389131610710312;;Clemente Papa IX|Clemens IX, Papa;
Clemens V;persName;https://viaf.org/84532574;;Papam Clementem|Clemente V;
Cleyer, Andreas;persName;http://www.viaf.org/52490540;;Andreas Cleyer;
Cobo, Iohannes;persName;;;Iohannes Cobo;
Coelho, Martinus S.J.;persName;;;Martinus Coelho|Martinus Coelho;
Coelius Casparus S.J.;persName;;;Gaspar Coellius;
Coellius, Petrus S.J.;persName;;;Petrus Coellius;
Colaso, Michael S.J.;persName;;;Michael Colaso;
Colladus, Didacus O.P.;persName;;;Diego Collado|Colladus;
Confucius;persName;http://www.viaf.org/89664672;;Confucio|Confucium|Confucius|Confuciu|Confuci|Confucii;
Conradus, dux Polonorum;persName;;;Conrado duce Polonorum;
Correa, Balthazar;persName;;;Balthazar Correa;
Correa, Dominicus S.J.;persName;;;Dominicus Correa|Dominicus Correa;
Correa, Hieronimus S.J.;persName;;;Hieronimus Correa;
Correa, Iohannes;persName;;;Joannes Correa;
Correa, Lucas;persName;;;Lucas Correa|Lucas Correa;
Cosmus Iohanes;persName;;;Cosmus Iannes|Cosmum Iannem ;
Costa, Bartholomeus da S.J.;persName;;;Bartholomeus da Costa|Bartholomeus da Costa|Bartolomeus da Costa|Bartolomeus da Costa|Bartolomeus da Costa;
Costa, Ignatius da ;persName;;;Ignatius da Costa|Iniatius da Costa|Ignatius de Costa;
Cottinius, Didacus S.J.;persName;;;Didacus Cottinius|Didacus Cottinius;
Crassus, Iohannes Petrus  S.J.;persName;;;Joannes Petrus Crassus;
Criminalis, Antonius S.J.;persName;;;Criminalis|Antonio Criminali|Antonius Criminalis|Antonius Chriminalis;
Cuiuch-Chan;persName;https://viaf.org/14095295;;Kuyuk, magnus Chanus|Cuy[u]cchan|Cuiuch-Chan|Cuiu[c]kan Imperatoris;
Cyngis-Chan;persName;https://viaf.org/100172770/;;Chingis, magnus Chanus|Cyngis-Chan|Chingis|Gengis Khan|Cyngis-Chan;
Loyola, Ignatius de S.J.;persName;http://viaf.org/88881025;;Ignatius de Loyola|Ignatii de Loyola|Ignatio|Ignacio de Loyola|Hignatio de Loiola;
Polanco, Iohannes Alfonsus de S.J.;persName;;;Iohannes de Polanco|Iohannes de Polanco|Juan de Polanco|Juan de Polanco;
Dias, Emmanuel S.J.;persName;;;Emmanuelis Dias|Emmanuele Dias|Emmanuel Dias|Emanuel Dias;
Diaz de Neyra, Dominicus;persName;http://viaf.org/10157340491109920966;;Dominicus Díaz;
Díaz, Alvarus S.J.;persName;;;Alvarus Díaz;
Diaz, Manuel;persName;;;Manuel Dias|Manuel Diaz|Manueli Dias|Manuele Dias|Manuele Diaz;
Didacus Lusitanus;persName;;;magister Didacus Lusitanus;
Didacus S.J.;persName;;;MAGISTRUM Didacum;
Dies, Balthasar;persName;;;Balthasar Dies|Balthasar Dies;
Dominicus;persName;;;Dominicus;
Dominicus Pereyra Lusitanus;persName;;;Dominicus Pereyra Lusitanus;
Egidius de la Mata S.J.;persName;;;Egidius de la Mata;
Emanuel de Azevedo S.J.;persName;;;Emanuelis de Azevedo;
Emmanuel Cardosus;persName;;;Emmanuel Cardosus|Emmanuel Cardosus;
Emmanuel Cortesius S.J.;persName;;;Emmanuel Cortesius;
Emmanuel da Sylva S.J.;persName;;;Emmanuel da Sylva|Emmanuel da Sylva|Emmanuel da Silva|Emmanuel da Silva;
Emmanuel de Miranda S.J.;persName;;;Emmanuel de Miranda|Emmanuel de Miranda;
Emmanuel de Monticulo O.F.M.;persName;;;Emmanuel de Monticulo O.F.M.|Emanuel de Monticulo;
Emmanuel Pachecus S.J.;persName;;;Emmanuel Pachecus|Emmanuel Pachecus;
Fabianus S.J.;persName;;;Fabiannus|Fr. Fabianus|fr. Fabianus;
Fancan Leo S.J.;persName;;;Fancan Leo;
Felix Morelli S.J.;persName;;;Felix Morelli;
Fereira, Antonius S.J.;persName;;;Antonius Fereira|Antonius Fereira|Antonius Ferreyra|Antonius Ferreira;
Ferrari, Franciscus;persName;;;Franciscum Ferrari|Franciscum Ferrari;
Ferreira, Antonius S.J.;persName;;;Antonio Ferreira|Antonio Ferreira;
Ferreira, Emmanuel S.J.;persName;http://www.viaf.org/11311063;;Emmanuel Ferreira|Emmanuel Ferreira;
Figheredo, Emmanuel S.J.;persName;;;Emmanuel Figheredo|Emmanuel Figheredo;
Figueira, Franciscus S.J.;persName;;;Franciscus Figueira|Franciscus Figueira;
Figueredo, Thomas de;persName;;;Thomas de Figueredo|Thomas de Figueredo|Thomas Figueredo|Thomas Figueredo;
Franciscus Petrus a Conceptione O.F.M.;persName;;;Francisco a Conceptione Peris O.F.M.|Francisco della Concepcion|Francisco a Conceptione|Franciscus a Conceptione|Francisco de la Conception;
Franciscus de Mansilla;persName;;;Franciscus de Mansilla;
Franciscus Rodericus;persName;;;Franciscum Rodericum;
Franciscus;persName;;;Franciscus|Francisco;
Franciscus Buzomi S.J.;persName;;;Francisco Buzomi|Francisco Buzomi;
Franciscus Calderón S.J.;persName;;;Franciscus Calderón;
Franciscus Carreón S.J.;persName;;;Franciscus Carreón;
Franciscus de Alexandria O.F.M.;persName;;;Franciscus de Alexandria O.F.M.|Franciscum de Alexandria|Franciscus de Alexandria;
Franciscus de Conceptione;persName;;;Franciscus de Conceptione;
Franciscus de Laguna S.J.;persName;;;Franciscus de Laguna;
Franciscus Episcopus Heliopolitanus;persName;;;Franciscus Episcopus Heliopolitanus|Franciscus Episcopus Heliopolitanus;
Franciscus Ferdinandus;persName;;;Franciscus Ferdinandus;
Franciscus Montefuscolus;persName;;;Franciscus Montefusculus|Franciscus Montefuscoli|Montefusculus|Montefuscoli;
Franciscus de Palude ;persName;;;Franciscus Palude|Franciscum Palude;
Franciscus Passius S.J.;persName;;;Franciscus Passius;
Franciscus Píriz S.J.;persName;;;Franciscus Píriz|Franciscus Píris;
Franciscus Rangel S.J.;persName;;;Franciscus Rangel|Franciscus Rangel|Franciscus Rangelis|Franciscus Rangelus;
Franciscus Rivas S.J.;persName;;;Franciscus Rivas|Franciscus Rivas;
Franciscus S.J.;persName;;;Magistri Francisci|magistro Francisco|Magister Franciscus;
Fróis, Ludovicus  S.J.;persName;http://www.viaf.org/44369221;;Ludovicus Fróes;
Furtado, Franciscus;persName;http://www.viaf.org/61295927;;Franciscus Furtado;
García Garcés S.J.;persName;http://www.viaf.org/70544515;;Garcia Garcés|Garcia Garcés;
Gaspar;persName;;;Gaspar;
Gaspar d’Amaral S.J.;persName;;;Gaspar d’Amaral|Gaspar d’Amaral|Gaspar do Amaral|Gaspare do Amaral|Gaspar do Amaral;
Gaspare Luis;persName;;;Gaspare Luis|Gaspare Luis;
Georgius S.J.;persName;;;Fr. Georgius;
Gerardinus, Iohannes S.J.;persName;;;Joannes Gerardinus;
Gerardus O.F.M.;persName;;;Gerardus O.F.M.|Gerardus Episcopus|Gerardo Episcopo;
Giannus S.J.;persName;;;Fr. Giannus;
Giorgius;persName;;;Giorgius;
